SKU,date,PrevAVGCost,PrevAssignedCost,AVGCost,LatestDateCost,Type,GenPrice
A-A-00024,2019-01-04,8.46875,11.0,9.4375,10.61458333,A,19.0
A-A-00025,2019-01-04,7.114583333,8.0,6.34375,7.395833333,A,16.0
A-A-00061,2019-01-04,0.0,45.0,0.0,0.0,A,61.0
A-A-00119,2019-01-04,0.0,38.0,39.88888889,39.88888889,C,66.0
A-G-00068,2019-01-04,37.01010101,44.0,0.0,0.0,C,74.0
A-A-00117,2019-01-04,12.63636364,14.0,14.18181818,14.36363636,A,24.0
A-A-00116,2019-01-04,19.29292929,20.0,18.14141414,17.696969699999997,A,28.0
A-A-00054,2019-01-04,16.34343434,17.0,14.87878788,15.85858586,A,25.0
A-A-00159,2019-01-04,20.52525253,21.0,17.15151515,15.7979798,A,27.0
A-A-00109,2019-01-04,21.38383838,22.0,20.32323232,20.26262626,A,31.0
A-A-00026,2019-01-04,20.54545455,21.0,19.41414141,18.36363636,A,30.0
A-A-00074,2019-01-04,0.0,35.0,34.54545455,33.85858586,A,50.0
A-A-00124,2019-01-04,32.68686869,36.0,33.42424242,33.54545455,A,51.0
A-A-00161,2019-01-04,24.32323232,25.0,23.62626263,22.61616162,A,34.0
A-A-00062,2019-01-04,0.0,20.0,0.0,0.0,A,31.0
A-E-00054,2019-01-04,78.22340426,100.0,75.35106383,84.54255319,C,141.0
A-A-00029,2019-01-04,1.6868686869999998,2.0,1.9090909090000001,1.6868686869999998,E,3.0
A-A-00125,2019-01-04,24.79591837,29.0,25.75510204,24.46938776,A,41.0
A-A-00085,2019-01-04,23.26262626,29.0,25.67676768,23.35353535,A,41.0
A-A-00138,2019-01-04,74.05050505,75.0,65.64646465,40.28282828,C,96.0
A-A-00033,2019-01-04,42.84210526,45.0,0.0,0.0,C,70.0
A-A-00163,2019-01-04,41.27272727,45.0,43.47474747,50.63636364,C,78.0
A-A-00034,2019-01-04,23.53535354,30.0,29.54545455,30.83838384,A,45.0
A-A-00035,2019-01-04,22.76767677,24.0,18.85858586,18.98989899,A,35.0
A-A-00037,2019-01-04,0.0,65.0,70.70707071,70.70707071,A,102.0
A-A-00038,2019-01-04,70.39393939,72.0,67.44444444,91.45454545,A,133.0
A-A-00039,2019-01-04,30.66666667,32.0,34.96969697,35.64646465,A,54.0
A-A-00040,2019-01-04,45.8989899,50.0,44.1010101,45.18181818,A,76.0
A-A-00055,2019-01-04,61.46464646,62.0,57.47474747,0.0,A,80.0
A-A-00041,2019-01-04,19.85858586,24.0,21.48484848,26.33333333,A,41.0
A-A-00042,2019-01-04,35.08080808,40.0,38.1010101,37.58585859,A,59.0
A-A-00043,2019-01-04,38.84848485,39.0,23.09090909,33.66666667,A,49.0
A-A-00101,2019-01-04,2.101010101,2.5,2.636363636,3.03030303,E,4.0
A-A-00044,2019-01-04,1.494949495,1.8,1.97979798,2.222222222,E,3.2
A-A-00092,2019-01-04,1.01010101,1.5,1.111111111,1.212121212,E,2.2
A-A-00144,2019-01-04,0.0,2.8,0.0,0.0,E,3.8
A-A-00102,2019-01-04,0.0,1.8,0.0,0.0,E,2.8
A-A-00046,2019-01-04,45.54255319,50.0,56.65957447,56.85106383,C,91.0
A-A-00048,2019-01-04,19.96969697,20.0,17.81818182,20.2020202,A,36.0
A-A-00086,2019-01-04,17.26262626,22.0,18.01010101,17.18181818,A,30.0
A-G-00025,2019-01-04,0.0,35.0,0.0,0.0,A,49.0
A-G-00005,2019-01-04,0.0,15.0,0.0,0.0,A,24.0
A-G-00006,2019-01-04,9.98989899,10.0,10.43434343,11.04040404,A,19.0
A-G-00007,2019-01-04,16.64646465,17.0,30.303030300000003,0.0,A,43.0
A-G-00062,2019-01-04,0.0,59.0,59.77777778,59.77777778,C,86.0
A-G-00067,2019-01-04,58.81818182,59.0,0.0,0.0,C,86.0
A-G-00012,2019-01-04,27.3125,29.0,26.35416667,21.53125,A,43.0
A-G-00035,2019-01-04,28.9375,29.0,0.0,0.0,A,42.0
A-G-00011,2019-01-04,31.125,31.0,31.52083333,31.08333333,A,47.0
A-E-00055,2019-01-04,0.0,87.0,0.0,0.0,A,130.0
A-J-00009,2019-01-04,90.44444444,115.0,136.040404,153.7070707,A,207.0
A-J-00002,2019-01-04,18.08510638,25.0,21.32978723,21.32978723,A,38.0
A-J-00010,2019-01-04,0.0,42.0,0.0,0.0,A,58.0
A-J-00006,2019-01-04,40.4040404,42.0,39.31313131,38.84848485,A,58.0
A-J-00012,2019-01-04,0.0,42.0,37.41414141,37.41414141,A,58.0
A-J-00007,2019-01-04,30.23232323,33.0,30.24242424,30.14141414,C,49.0
A-D-00058,2019-01-04,311.98989900000004,316.0,808.0808081,0.0,C,863.0
A-F-00001,2019-01-04,52.94949495,56.0,55.90909091,51.44444444,C,94.0
